Distance_m,Current_Mag,Current_Phase_deg,Field_Mag,Field_dB
20.630267,2.177277e-01,-157.808,2.557679e+01,10.805
20.707534,2.174884e-01,164.944,2.514986e+01,10.656
20.784801,2.172455e-01,127.610,2.459823e+01,10.461
20.862068,2.170414e-01,90.183,2.385746e+01,10.192
20.939334,2.168842e-01,52.652,2.287767e+01,9.825
21.016601,2.167446e-01,15.010,2.169539e+01,9.362
21.093868,2.165858e-01,-22.744,2.039911e+01,8.824
21.171135,2.163931e-01,-60.600,1.903466e+01,8.220
21.248402,2.161753e-01,-98.551,1.761964e+01,7.546
21.325669,2.159595e-01,-136.595,1.612051e+01,6.771
21.402936,2.157687e-01,-174.735,1.445684e+01,5.823
21.480203,2.156021e-01,147.021,1.261357e+01,4.635
21.557470,2.154436e-01,108.671,1.062418e+01,3.142
21.634737,2.152726e-01,70.215,8.530461e+00,1.232
21.712004,2.150772e-01,31.659,6.417986e+00,-1.242
21.789271,2.148670e-01,-6.993,4.342586e+00,-4.638
21.866537,2.146602e-01,-45.739,2.451556e+00,-9.606
21.943804,2.144693e-01,-84.582,1.940682e+00,-11.639
22.021071,2.142975e-01,-123.526,3.660727e+00,-6.129
22.098338,2.141310e-01,-162.573,6.023396e+00,-1.807
22.175605,2.139534e-01,158.276,8.492989e+00,1.175
22.252872,2.137595e-01,119.025,1.092725e+01,3.361
22.330139,2.135529e-01,79.680,1.329259e+01,5.061
22.407406,2.133473e-01,40.240,1.555956e+01,6.426
22.484673,2.131564e-01,0.705,1.777942e+01,7.581
22.561940,2.129788e-01,-38.930,1.999730e+01,8.599
22.639207,2.128067e-01,-78.666,2.218521e+01,9.499
22.716474,2.126285e-01,-118.504,2.434836e+01,10.304
22.793740,2.124344e-01,-158.440,2.646483e+01,11.025
22.871007,2.122303e-01,161.529,2.850738e+01,11.668
22.948274,2.120262e-01,121.405,3.055367e+01,12.267
23.025541,2.118307e-01,81.185,3.265310e+01,12.842
23.102808,2.116494e-01,40.868,3.482080e+01,13.397
23.180075,2.114739e-01,0.452,3.708944e+01,13.943
23.257342,2.112933e-01,-40.064,3.937408e+01,14.459
23.334609,2.111028e-01,-80.678,4.157698e+01,14.929
23.411876,2.109002e-01,-121.386,4.368201e+01,15.355
23.489143,2.106950e-01,-162.187,4.564001e+01,15.733
23.566410,2.104979e-01,156.919,4.748995e+01,16.076
23.643677,2.103102e-01,115.929,4.933773e+01,16.404
23.720943,2.101312e-01,74.841,5.118574e+01,16.721
23.798210,2.099516e-01,33.655,5.306470e+01,17.031
23.875477,2.097615e-01,-7.627,5.498217e+01,17.337
23.952744,2.095627e-01,-49.004,5.684075e+01,17.623
24.030011,2.093581e-01,-90.473,5.864496e+01,17.891
24.107278,2.091559e-01,-132.035,6.040573e+01,18.145
24.184545,2.089649e-01,-173.690,6.207992e+01,18.380
24.261812,2.087809e-01,144.560,6.373441e+01,18.605
24.339079,2.085995e-01,102.713,6.536748e+01,18.822
24.416346,2.084140e-01,60.770,6.691408e+01,19.022
24.493613,2.082168e-01,18.734,6.841811e+01,19.213
24.570880,2.080139e-01,-23.396,6.984992e+01,19.390
24.648147,2.078107e-01,-65.615,7.118972e+01,19.552
24.725413,2.076119e-01,-107.927,7.253538e+01,19.712
24.802680,2.074245e-01,-150.331,7.386867e+01,19.867
24.879947,2.072410e-01,167.170,7.517136e+01,20.016
24.957214,2.070554e-01,124.575,7.647836e+01,20.163
25.034481,2.068648e-01,81.887,7.768782e+01,20.296
25.111748,2.066634e-01,39.108,7.876539e+01,20.413
25.189015,2.064589e-01,-3.763,7.976325e+01,20.519
25.266282,2.062580e-01,-46.722,8.064799e+01,20.612
25.343549,2.060619e-01,-89.773,8.148597e+01,20.699
25.420816,2.058756e-01,-132.917,8.236201e+01,20.789
25.498083,2.056911e-01,-176.153,8.321678e+01,20.875
25.575350,2.055014e-01,140.517,8.404637e+01,20.959
25.652616,2.053072e-01,97.095,8.483460e+01,21.037
25.729883,2.051036e-01,53.583,8.547219e+01,21.099
25.807150,2.048988e-01,9.983,8.597872e+01,21.147
25.884417,2.047000e-01,-33.706,8.641091e+01,21.188
25.961684,2.045050e-01,-77.486,8.675166e+01,21.219
26.038951,2.043185e-01,-121.357,8.707834e+01,21.249
26.116218,2.041326e-01,-165.319,8.744088e+01,21.282
26.193485,2.039396e-01,150.626,8.774879e+01,21.309
26.270752,2.037434e-01,106.482,8.799275e+01,21.331
26.348019,2.035389e-01,62.250,8.817262e+01,21.345
26.425286,2.033341e-01,17.929,8.818721e+01,21.344
26.502553,2.031366e-01,-26.479,8.808861e+01,21.331
26.579819,2.029415e-01,-70.975,8.796667e+01,21.316
26.657086,2.027544e-01,-115.563,8.776067e+01,21.293
26.734353,2.025672e-01,-160.240,8.753584e+01,21.267
26.811620,2.023719e-01,154.992,8.734750e+01,21.246
26.888887,2.021751e-01,110.136,8.704829e+01,21.213
26.966154,2.019701e-01,65.194,8.665473e+01,21.170
27.043421,2.017651e-01,20.164,8.622194e+01,21.124
27.120688,2.015684e-01,-24.951,8.562663e+01,21.061
27.197955,2.013721e-01,-70.154,8.493938e+01,20.988
27.275222,2.011843e-01,-115.447,8.427763e+01,20.917
27.352489,2.009962e-01,-160.827,8.353654e+01,20.837
27.429756,2.007995e-01,153.703,8.273460e+01,20.750
