% MoM Surface Current Results - Generated: 2025-06-01 15:59:53
% Distance(m)	Magnitude(A/m)	Real(A/m)	Imag(A/m)	Phase(deg)
20.939334	2.168842e-01	1.315729e-01	1.724161e-01	52.652
21.016601	2.167446e-01	2.093496e-01	5.613313e-02	15.010
21.093868	2.165858e-01	1.997451e-01	-8.373353e-02	-22.744
21.171135	2.163931e-01	1.062293e-01	-1.885240e-01	-60.600
21.248402	2.161753e-01	-3.214185e-02	-2.137725e-01	-98.551
21.325669	2.159595e-01	-1.568972e-01	-1.483973e-01	-136.595
21.402936	2.157687e-01	-2.148585e-01	-1.979796e-02	-174.735
21.480203	2.156021e-01	-1.808629e-01	1.173580e-01	147.021
21.557470	2.154436e-01	-6.897057e-02	2.041054e-01	108.671
21.634737	2.152726e-01	7.286714e-02	2.025652e-01	70.215
21.712004	2.150772e-01	1.830708e-01	1.128860e-01	31.659
21.789271	2.148670e-01	2.132686e-01	-2.616001e-02	-6.993
21.866537	2.146602e-01	1.498174e-01	-1.537328e-01	-45.739
21.943804	2.144693e-01	2.025146e-02	-2.135111e-01	-84.582
22.021071	2.142975e-01	-1.183593e-01	-1.786463e-01	-123.526
22.098338	2.141310e-01	-2.043028e-01	-6.412845e-02	-162.573
22.175605	2.139534e-01	-1.987574e-01	7.919316e-02	158.276
22.252872	2.137595e-01	-1.037156e-01	1.869123e-01	119.025
22.330139	2.135529e-01	3.825646e-02	2.100983e-01	79.680
22.407406	2.133473e-01	1.628565e-01	1.378218e-01	40.240
22.484673	2.131564e-01	2.131403e-01	2.622744e-03	0.705
22.561940	2.129788e-01	1.656801e-01	-1.338285e-01	-38.930
22.639207	2.128067e-01	4.182128e-02	-2.086568e-01	-78.666
22.716474	2.126285e-01	-1.014704e-01	-1.868545e-01	-118.504
22.793740	2.124344e-01	-1.975708e-01	-7.806494e-02	-158.440
22.871007	2.122303e-01	-2.012969e-01	6.724010e-02	161.529
22.948274	2.120262e-01	-1.104821e-01	1.809664e-01	121.405
23.025541	2.118307e-01	3.246082e-02	2.093288e-01	81.185
23.102808	2.116494e-01	1.600523e-01	1.384873e-01	40.868
23.180075	2.114739e-01	2.114673e-01	1.669459e-03	0.452
23.257342	2.112933e-01	1.617085e-01	-1.359972e-01	-40.064
23.334609	2.111028e-01	3.419640e-02	-2.083147e-01	-80.678
23.411876	2.109002e-01	-1.098359e-01	-1.800416e-01	-121.386
23.489143	2.106950e-01	-2.005943e-01	-6.445384e-02	-162.187
23.566410	2.104979e-01	-1.936473e-01	8.252329e-02	156.919
23.643677	2.103102e-01	-9.195911e-02	1.891399e-01	115.929
23.720943	2.101312e-01	5.494889e-02	2.028195e-01	74.841
23.798210	2.099516e-01	1.747606e-01	1.163546e-01	33.655
23.875477	2.097615e-01	2.079056e-01	-2.784119e-02	-7.627
23.952744	2.095627e-01	1.374731e-01	-1.581698e-01	-49.004
24.030011	2.093581e-01	-1.730095e-03	-2.093510e-01	-90.473
24.107278	2.091559e-01	-1.400474e-01	-1.553477e-01	-132.035
24.184545	2.089649e-01	-2.076988e-01	-2.296802e-02	-173.690
24.261812	2.087809e-01	-1.700996e-01	1.210603e-01	144.560
24.339079	2.085995e-01	-4.590698e-02	2.034853e-01	102.713
24.416346	2.084140e-01	1.017705e-01	1.818768e-01	60.770
24.493613	2.082168e-01	1.971860e-01	6.687254e-02	18.734
24.570880	2.080139e-01	1.909118e-01	-8.259804e-02	-23.396
24.648147	2.078107e-01	8.579724e-02	-1.892726e-01	-65.615
24.725413	2.076119e-01	-6.390254e-02	-1.975327e-01	-107.927
24.802680	2.074245e-01	-1.802314e-01	-1.026720e-01	-150.331
24.879947	2.072410e-01	-2.020668e-01	4.602008e-02	167.170
24.957214	2.070554e-01	-1.175016e-01	1.704855e-01	124.575
25.034481	2.068648e-01	2.919323e-02	2.047946e-01	81.887
25.111748	2.066634e-01	1.603631e-01	1.303588e-01	39.108
25.189015	2.064589e-01	2.060138e-01	-1.354929e-02	-3.763
25.266282	2.062580e-01	1.413968e-01	-1.501643e-01	-46.722
25.343549	2.060619e-01	8.159515e-04	-2.060602e-01	-89.773
25.420816	2.058756e-01	-1.401878e-01	-1.507718e-01	-132.917
25.498083	2.056911e-01	-2.052276e-01	-1.380005e-02	-176.153
25.575350	2.055014e-01	-1.586078e-01	1.306690e-01	140.517
25.652616	2.053072e-01	-2.535746e-02	2.037352e-01	97.095
25.729883	2.051036e-01	1.217601e-01	1.650514e-01	53.583
25.807150	2.048988e-01	2.017967e-01	3.551886e-02	9.983
25.884417	2.047000e-01	1.702883e-01	-1.135958e-01	-33.706
25.961684	2.045050e-01	4.431308e-02	-1.996463e-01	-77.486
26.038951	2.043185e-01	-1.063207e-01	-1.744763e-01	-121.357
26.116218	2.041326e-01	-1.974683e-01	-5.173391e-02	-165.319
26.193485	2.039396e-01	-1.777206e-01	1.000338e-01	150.626
26.270752	2.037434e-01	-5.780355e-02	1.953718e-01	106.482
26.348019	2.035389e-01	9.477204e-02	1.801287e-01	62.250
26.425286	2.033341e-01	1.934600e-01	6.259369e-02	17.929
26.502553	2.031366e-01	1.818276e-01	-9.057146e-02	-26.479
26.579819	2.029415e-01	6.615402e-02	-1.918565e-01	-70.975
26.657086	2.027544e-01	-8.748908e-02	-1.829071e-01	-115.563
26.734353	2.025672e-01	-1.906393e-01	-6.848438e-02	-160.240
26.811620	2.023719e-01	-1.833998e-01	8.555067e-02	154.992
26.888887	2.021751e-01	-6.959938e-02	1.898176e-01	110.136
26.966154	2.019701e-01	8.473537e-02	1.833353e-01	65.194
27.043421	2.017651e-01	1.893984e-01	6.955162e-02	20.164
27.120688	2.015684e-01	1.827561e-01	-8.502954e-02	-24.951
27.197955	2.013721e-01	6.836529e-02	-1.894120e-01	-70.154
27.275222	2.011843e-01	-8.644290e-02	-1.816666e-01	-115.447
27.352489	2.009962e-01	-1.898470e-01	-6.601212e-02	-160.827
27.429756	2.007995e-01	-1.800191e-01	8.895821e-02	153.703
27.507022	2.006035e-01	-6.247733e-02	1.906261e-01	108.146
27.584289	2.003979e-01	9.251700e-02	1.777636e-01	62.505
27.661556	2.001927e-01	1.916715e-01	5.778534e-02	16.777
27.738823	1.999963e-01	1.748619e-01	-9.706623e-02	-29.035
27.816090	1.997976e-01	5.193681e-02	-1.929291e-01	-74.933
27.893357	1.996098e-01	-1.025679e-01	-1.712422e-01	-120.920
27.970624	1.994210e-01	-1.943037e-01	-4.488654e-02	-166.992
28.047891	1.992231e-01	-1.667913e-01	1.089518e-01	146.847
28.125158	1.990295e-01	-3.661170e-02	1.956332e-01	100.600
28.202425	1.988227e-01	1.161042e-01	1.614010e-01	54.271
28.279692	1.986178e-01	1.967546e-01	2.714170e-02	7.854
28.356959	1.984218e-01	1.549778e-01	-1.239076e-01	-38.643
28.434225	1.982187e-01	1.649710e-02	-1.975310e-01	-85.226
28.511492	1.980324e-01	-1.322428e-01	-1.474065e-01	-131.896
28.588759	1.978420e-01	-1.977869e-01	-4.666071e-03	-178.649
28.666026	1.976430e-01	-1.385520e-01	1.409472e-01	134.509
28.743293	1.974550e-01	8.323526e-03	1.972795e-01	87.584
28.820560	1.972441e-01	1.498128e-01	1.283020e-01	40.577
28.897827	1.970419e-01	1.957685e-01	-2.236539e-02	-6.517
28.975094	1.968468e-01	1.165693e-01	-1.586199e-01	-53.688
29.052361	1.966345e-01	-3.733693e-02	-1.930572e-01	-100.946
29.129628	1.964561e-01	-1.671266e-01	-1.032652e-01	-148.289
29.206895	1.962585e-01	-1.889286e-01	5.313555e-02	164.292
29.284162	1.960580e-01	-8.832464e-02	1.750357e-01	116.776
29.361428	1.958858e-01	6.960497e-02	1.831021e-01	69.186
29.438695	1.956544e-01	1.820243e-01	7.174817e-02	21.513
29.515962	1.954722e-01	1.753071e-01	-8.646866e-02	-26.254
29.593229	1.952767e-01	5.356973e-02	-1.877852e-01	-74.078
29.670496	1.950236e-01	-1.033785e-01	-1.653695e-01	-122.011
29.747763	1.949294e-01	-1.919757e-01	-3.380511e-02	-170.013
29.825030	1.946111e-01	-1.532191e-01	1.199890e-01	141.935
29.902297	1.944753e-01	-1.239498e-02	1.940799e-01	93.654
29.979564	1.943454e-01	1.352722e-01	1.395405e-01	45.890
30.056831	1.963822e-01	1.963395e-01	-4.095597e-03	-1.195
30.134098	1.970967e-01	1.312558e-01	-1.470340e-01	-48.245
30.211365	1.966619e-01	-1.807566e-02	-1.958294e-01	-95.274
